Result,Delay (ms),HTTP requests
622,21230.820066,2298
623,21230.826368000002,2298
624,21230.836197,2298
625,21230.840875,2298
626,21230.899015000003,2298
627,21230.905367000003,2298
628,21230.910036,2298
629,21230.914504,2298
630,21230.97061,2298
631,21230.976431000003,2298
632,21230.980759000002,2298
633,21230.986149,2298
634,21231.030012000003,2298
635,21231.034701,2298
636,21231.039179000003,2298
637,21231.043137,2298
638,21231.079726,2298
639,21231.084956000002,2298
640,21231.088983,2298
641,21231.093321,2298
642,21231.12988,2298
643,21231.134399000002,2298
644,21231.138206,2298
645,21231.142494,2298
646,21231.181057,2298
647,21231.186126,2298
648,21231.190004,2298
649,21231.194382,2298
650,21231.231722,2298
651,21231.237263000003,2298
652,21231.241921,2298
653,21231.246290000003,2298
654,21231.283029000002,2298
655,21231.28869,2298
656,21231.293128,2298
657,21231.297917,2298
658,21231.335518,2298
659,21231.340457000002,2298
660,21231.345958,2298
661,21231.351819,2298
662,21231.389079,2298
663,21231.393307000002,2298
664,21231.397394,2298
665,21231.401432000002,2298
666,21231.438452000002,2298
667,21231.442610000002,2298
668,21231.446677,2298
669,21231.451897000003,2298
670,21231.507843000003,2298
671,21231.513473000003,2298
672,21231.517561,2298
673,21231.523051,2298
674,21231.708000000002,2298
675,21231.71322,2298
676,21231.719161,2298
677,21231.723139,2298
678,21405.971201,2298
679,21405.997941,2298
680,21406.0029,2298
681,21406.007028,2298
682,21406.027026,2298
683,21406.031294,2298
684,21406.035321000003,2298
685,21406.03982,2298
686,21406.12499,2298
687,21406.144227,2298
688,21406.152422000003,2298
689,21406.158163,2298
690,21406.219669000002,2298
691,21406.226522,2298
692,21406.233004,2298
693,21406.239967,2298
694,21406.319387,2298
695,21406.325989,2298
696,21406.332021000002,2298
697,21406.337621000002,2298
698,21406.412472,2298
699,21406.419766000003,2298
700,21406.431558,2298
701,21406.443431,2298
702,21406.507201,2298
703,21406.515456,2298
704,21406.525676,2298
705,21406.531386000002,2298
706,21406.585108000003,2298
707,21406.600056000003,2298
708,21406.608873,2298
709,21406.615235,2298
710,21406.669807000002,2298
711,21406.684295000003,2298
712,21406.690116,2298
713,21406.696969,2298
714,21406.758114,2298
715,21406.768373000003,2298
716,21406.773633,2298
717,21406.779194000002,2298
718,21406.834117000002,2298
719,21406.841561,2298
720,21406.854095000002,2298
721,21406.860627000002,2298
722,21406.913807,2298
723,21406.919789,2298
724,21406.925489,2298
725,21406.932523,2298
726,21406.997495,2298
727,21407.003907000002,2298
728,21407.008826,2298
729,21407.014497,2298
730,21564.179298000003,2298
731,21564.191861000003,2298
732,21564.197081000002,2298
733,21564.202311,2298
734,21564.310896000003,2298
735,21564.318069,2298
736,21564.323780000002,2298
737,21564.330733000003,2298
738,21564.578370000003,2298
739,21564.587036,2298
740,21564.609469000003,2298
741,21564.616782,2298
742,21705.972473,2298
743,21705.984586000002,2298
744,21705.990918,2298
